test_file,m,n,algorithm,Cmax,runtime_sec
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,7,70,IP,441.0,61.35
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,7,70,GA,460,0.39
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,7,60,IP,353.9999999644998,60.96
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,7,60,GA,365,0.33
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,7,50,IP,331.0,60.68
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,7,50,GA,342,0.28
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,7,70,IP,487.99999995109994,61.32
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,7,70,GA,487,0.39
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,7,60,IP,386.9999999611999,60.98
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,7,60,GA,393,0.33
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,7,50,IP,359.0,60.67
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,7,50,GA,387,0.28
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,7,50,IP,328.9999590329971,60.69
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,7,50,GA,331,0.28
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,7,60,IP,389.99999996089997,60.98
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,7,60,GA,395,0.33
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,7,70,IP,430.9999999567998,61.35
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,7,70,GA,432,0.39
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,7,100,IP,676.0,62.87
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,7,100,GA,683,0.53
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,7,70,IP,478.99999995199846,61.42
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,7,70,GA,468,0.39
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,7,60,IP,380.0,60.97
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,7,60,GA,376,0.33
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,7,90,IP,663.9999999334912,62.32
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,7,90,GA,619,0.49
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,7,50,IP,332.99999996659994,60.67
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,7,50,GA,337,0.28
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,7,50,IP,304.9999999693998,60.71
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,7,50,GA,314,0.3
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,7,60,IP,364.0,60.99
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,7,60,GA,359,0.33
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,7,70,IP,432.0,61.34
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,7,70,GA,429,0.39
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,7,100,IP,639.9999999358998,62.83
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,7,100,GA,624,0.55
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,7,70,IP,460.9999999537987,61.36
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,7,70,GA,442,0.39
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,7,60,IP,385.9999999612983,60.99
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,7,60,GA,391,0.33
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,7,50,IP,336.0,60.73
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,7,50,GA,358,0.28
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,7,50,IP,313.9999999684998,60.69
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,7,50,GA,331,0.28
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,7,60,IP,372.9999999625961,60.99
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,7,60,GA,352,0.33
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,7,70,IP,491.0,61.33
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,7,70,GA,472,0.39
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,7,100,IP,713.0,62.92
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,7,100,GA,628,0.55
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,7,90,IP,610.0,62.39
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,7,90,GA,589,0.48
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,7,80,IP,538.0,61.95
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,7,80,GA,545,0.44
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,7,80,IP,516.0,61.79
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,7,80,GA,499,0.43
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,7,50,IP,308.9999999689999,60.72
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,7,50,GA,324,0.3
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,7,90,IP,607.0,62.31
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,7,90,GA,570,0.49
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,7,60,IP,378.0,60.99
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,7,60,GA,383,0.33
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,7,90,IP,586.0,62.25
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,7,90,GA,565,0.48
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,7,80,IP,520.9999999477983,61.95
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,7,80,GA,488,0.44
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,7,90,IP,575.0,62.19
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,7,90,GA,573,0.48
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,7,80,IP,559.0,61.85
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,7,80,GA,551,0.43
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,7,80,IP,561.0,61.92
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,7,80,GA,572,0.43
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,7,90,IP,558.0,62.69
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,7,90,GA,543,0.48
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,7,90,IP,625.0,62.26
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,7,90,GA,579,0.48
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,7,70,IP,445.9999999552985,61.4
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,7,70,GA,462,0.38
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,7,80,IP,529.0,61.97
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,7,80,GA,539,0.43
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,7,80,IP,517.0,62.06
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,7,80,GA,498,0.43
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,7,90,IP,598.0,62.88
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,7,90,GA,580,0.5
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,7,90,IP,578.0,62.78
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,7,90,GA,587,0.48
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,7,80,IP,617.0,62.08
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,7,80,GA,558,0.44
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,7,80,IP,510.0,62.04
case_m7_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,7,80,GA,496,0.43
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,7,90,IP,604.0,62.89
case_m7_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,7,90,GA,607,0.49
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,7,100,IP,731.9999999266996,62.88
case_m7_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,7,100,GA,688,0.55
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,7,70,IP,488.9999999509955,61.43
case_m7_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,7,70,GA,467,0.38
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,7,60,IP,392.9999999605926,60.98
case_m7_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,7,60,GA,388,0.33
case_m7_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,7,50,IP,358.9999999639999,60.7
