test_file,m,n,algorithm,Cmax,runtime_sec
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,4,60,IP,613.9999999384999,60.59
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,4,60,GA,617,0.21
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,4,70,IP,714.9999999283996,60.79
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,4,70,GA,723,0.25
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,4,100,IP,1009.9999998988981,61.65
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,4,100,GA,1022,0.34
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,4,100,IP,1037.9999998960998,61.64
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,4,100,GA,1033,0.35
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,4,70,IP,728.9999999269994,60.83
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,4,70,GA,736,0.25
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,4,60,IP,622.9999991646683,60.58
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,4,60,GA,631,0.21
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,4,50,IP,475.9999999046053,60.41
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,4,50,GA,478,0.18
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,4,50,IP,532.9999998359842,60.47
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,4,50,GA,546,0.18
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,4,60,IP,601.9999999396999,60.65
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,4,60,GA,607,0.23
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,4,70,IP,724.0,60.86
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,4,70,GA,767,0.27
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,4,100,IP,1032.0,61.69
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,4,100,GA,1007,0.37
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,4,100,IP,1045.0,61.81
case_m4_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,4,100,GA,1045,0.35
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,4,70,IP,670.9999995614135,60.85
case_m4_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,4,70,GA,689,0.25
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,4,60,IP,587.9999998821979,60.57
case_m4_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,4,60,GA,594,0.22
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,4,50,IP,509.9999998977992,60.47
case_m4_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,4,50,GA,526,0.19
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,4,90,IP,914.9999999083998,61.33
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,4,90,GA,912,0.31
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,4,80,IP,866.9999999131998,61.15
case_m4_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,4,80,GA,869,0.29
case_m4_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,4,90,IP,896.9999999101998,61.89
