test_file,m,n,algorithm,Cmax,runtime_sec
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,8,90,IP,601.0,62.54
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,8,90,GA,533,0.53
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,8,50,IP,281.99999997169965,60.76
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,8,50,GA,293,0.31
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,8,80,IP,478.0,62.33
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,8,80,GA,472,0.48
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,8,80,IP,512.9999999485993,62.24
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,8,80,GA,493,0.49
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,8,90,IP,620.9999999377999,63.0
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,8,90,GA,556,0.56
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,8,60,IP,349.99999996489976,61.09
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,8,60,GA,342,0.37
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,8,70,IP,446.0,61.7
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,8,70,GA,423,0.43
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,8,60,IP,365.99999996329996,61.09
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,8,60,GA,378,0.37
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,8,50,IP,331.0,12.57
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,8,50,GA,361,0.31
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,8,70,IP,415.0,61.54
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,8,70,GA,409,0.44
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,8,50,IP,321.0,15.0
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,8,50,GA,338,0.31
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,8,60,IP,359.0,61.09
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,8,60,GA,371,0.37
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,8,60,IP,350.99999996479994,61.08
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,8,60,GA,368,0.37
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,8,50,IP,365.0,9.7
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,8,50,GA,385,0.32
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,8,70,IP,428.9999999569998,61.64
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,8,70,GA,407,0.42
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,8,70,IP,410.9999999587998,61.51
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,8,70,GA,411,0.43
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,8,50,IP,295.0,21.35
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,8,50,GA,298,0.32
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,8,60,IP,385.0,61.09
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,8,60,GA,407,0.37
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,8,60,IP,342.0,50.23
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,8,60,GA,360,0.37
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,8,90,IP,606.0,62.53
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,8,90,GA,577,0.54
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,8,50,IP,289.0,60.77
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,8,50,GA,309,0.31
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,8,70,IP,449.9999999548961,61.52
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,8,70,GA,437,0.43
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,8,100,IP,595.0,63.2
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,8,100,GA,602,0.62
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,8,70,IP,421.99999995769986,61.56
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,8,70,GA,408,0.43
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,8,50,IP,315.0,20.72
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,8,50,GA,323,0.31
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,8,60,IP,388.99999996099996,61.11
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,8,60,GA,408,0.37
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,8,60,IP,369.0,61.11
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,8,60,GA,368,0.37
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,8,50,IP,293.0,60.79
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,8,50,GA,315,0.31
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,8,70,IP,520.0,61.55
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,8,70,GA,516,0.44
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,8,100,IP,634.9999360642113,63.16
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,8,100,GA,607,0.6
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,8,100,IP,612.9999999385996,63.39
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,8,100,GA,575,0.98
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,8,70,IP,433.0,61.78
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,8,70,GA,439,0.43
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,8,50,IP,286.0,60.77
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,8,50,GA,310,0.32
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,8,60,IP,347.0,61.18
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,8,60,GA,333,0.37
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,8,60,IP,363.0,37.52
case_m8_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,8,60,GA,373,0.37
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,8,50,IP,277.9999999720998,60.77
case_m8_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,8,50,GA,299,0.31
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,8,70,IP,379.9999999618993,61.56
case_m8_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,8,70,GA,374,0.43
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,8,100,IP,573.9999999424958,63.18
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,8,100,GA,566,0.63
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,8,100,IP,655.0,63.17
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,8,100,GA,620,0.6
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,8,80,IP,501.0,62.11
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,8,80,GA,508,0.48
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,8,100,IP,623.9999998749994,63.25
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,8,100,GA,567,0.59
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,8,100,IP,656.0,63.4
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,8,100,GA,636,0.65
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,8,100,IP,699.0,63.25
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,8,100,GA,601,0.59
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,8,100,IP,651.0,63.22
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,8,100,GA,587,0.59
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,8,100,IP,669.0,63.21
case_m8_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,8,100,GA,661,0.6
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,8,90,IP,582.0,62.55
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,8,90,GA,578,0.54
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,8,80,IP,512.0,62.15
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,8,80,GA,485,0.49
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,8,90,IP,623.0,62.52
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,8,90,GA,609,0.55
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,8,80,IP,525.0,62.44
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,8,80,GA,525,0.48
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,8,80,IP,522.0,62.13
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,8,80,GA,510,0.49
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,8,90,IP,557.0,63.13
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,8,90,GA,531,0.54
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,8,90,IP,544.0,62.64
case_m8_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,8,90,GA,512,0.54
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,8,80,IP,475.99999995229996,62.27
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,8,80,GA,508,0.48
case_m8_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,8,80,IP,509.0,62.27
