test_file,m,n,algorithm,Cmax,runtime_sec
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,9,60,IP,351.9999999646996,61.22
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,9,60,GA,354,0.4
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,9,50,IP,333.0,2.33
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,9,50,GA,333,0.35
case_m9_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,9,70,IP,489.0,9.0
case_m9_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,9,70,GA,507,0.48
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,9,60,IP,406.0,8.73
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,9,60,GA,406,0.41
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,9,50,IP,244.0,49.05
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,9,50,GA,268,0.34
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,9,50,IP,259.0,40.26
case_m9_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,9,50,GA,288,0.34
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,9,60,IP,317.0,61.23
case_m9_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,9,60,GA,325,0.41
case_m9_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,9,70,IP,432.0,61.84
case_m9_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,9,70,GA,443,0.48
case_m9_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,9,90,IP,536.0,62.82
case_m9_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,9,90,GA,570,0.61
case_m9_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,9,80,IP,461.9999999536998,62.59
case_m9_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,9,80,GA,426,0.54
case_m9_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,9,80,IP,480.0,62.38
