test_file,m,n,algorithm,Cmax,runtime_sec
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,6,90,IP,653.0,61.98
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,6,90,GA,620,0.42
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,6,80,IP,621.9999999376996,61.79
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,6,80,GA,621,0.38
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,6,80,IP,652.0,61.83
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,6,80,GA,605,0.38
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,6,90,IP,632.9999999365998,62.09
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,6,90,GA,659,0.42
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,6,90,IP,689.9999999308998,62.22
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,6,90,GA,623,0.43
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,6,80,IP,582.9999999415999,61.6
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,6,80,GA,541,0.38
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,6,80,IP,573.0,61.64
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,6,80,GA,589,0.38
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,6,90,IP,624.9999999373999,62.08
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,6,90,GA,596,0.43
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,6,90,IP,643.0,62.43
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,6,90,GA,645,0.43
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,6,80,IP,563.0,61.63
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,6,80,GA,583,0.39
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,6,100,IP,779.0,62.46
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,6,100,GA,733,0.47
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,6,100,IP,691.0,62.5
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,6,100,GA,688,0.47
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,6,80,IP,589.9999999408999,61.9
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,6,80,GA,606,0.39
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,6,90,IP,654.0,61.97
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,6,90,GA,630,0.42
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,6,90,IP,647.9999999350999,62.02
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,6,90,GA,623,0.42
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,6,80,IP,566.0,61.61
case_m6_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,6,80,GA,555,0.39
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,6,90,IP,674.9999716834496,62.44
case_m6_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,6,90,GA,640,0.43
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,6,60,IP,433.0,60.84
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case10.txt,6,60,GA,438,0.29
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,6,50,IP,388.0,60.63
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,6,50,GA,394,0.25
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,6,100,IP,766.0,62.42
case_m6_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,6,100,GA,723,0.47
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,6,70,IP,525.9999998682481,61.17
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,6,70,GA,521,0.35
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,6,50,IP,382.0,60.61
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,6,50,GA,389,0.25
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,6,60,IP,426.0,60.85
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,6,60,GA,435,0.31
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,6,60,IP,417.9999999580995,60.88
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,6,60,GA,420,0.3
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,6,50,IP,347.9999998603993,60.6
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,6,50,GA,352,0.25
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,6,70,IP,484.9999999513953,61.16
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,6,70,GA,501,0.34
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,6,70,IP,496.99999995019994,61.2
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case4.txt,6,70,GA,485,0.34
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,6,50,IP,387.99999900746246,60.63
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case5.txt,6,50,GA,400,0.26
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,6,60,IP,412.9999999585999,60.85
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case4.txt,6,60,GA,419,0.29
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,6,60,IP,452.0,60.89
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case5.txt,6,60,GA,471,0.29
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,6,50,IP,371.9998770004326,60.61
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case4.txt,6,50,GA,379,0.25
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,6,70,IP,529.9999988848965,61.26
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case5.txt,6,70,GA,558,0.34
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,6,70,IP,511.99993105137827,61.19
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case7.txt,6,70,GA,530,0.34
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,6,50,IP,376.9999999621998,60.63
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case6.txt,6,50,GA,389,0.25
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,6,60,IP,434.9999999563981,60.84
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case7.txt,6,60,GA,436,0.29
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,6,60,IP,416.99999987459245,60.87
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case6.txt,6,60,GA,435,0.29
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,6,50,IP,360.0,60.65
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case7.txt,6,50,GA,383,0.25
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,6,70,IP,477.9999998901114,61.2
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case6.txt,6,70,GA,466,0.36
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,6,70,IP,504.0,61.19
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,6,70,GA,515,0.34
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,6,50,IP,365.9999999632999,60.61
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,6,50,GA,372,0.25
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,6,60,IP,436.0,60.86
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,6,60,GA,431,0.29
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,6,60,IP,427.99999995709965,60.86
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,6,60,GA,429,0.3
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,6,50,IP,365.999905036784,60.62
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,6,50,GA,367,0.24
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,6,70,IP,516.9999998669983,61.25
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,6,70,GA,520,0.34
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,6,70,IP,569.9999999428949,61.22
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case1.txt,6,70,GA,551,0.34
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,6,60,IP,440.0,60.84
case_m6_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,6,60,GA,453,0.29
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,6,70,IP,524.9999999473996,61.19
case_m6_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,6,70,GA,522,0.34
case_m6_n50_lambda0.2_mu40.0_sigma10.0_case1.txt,6,50,IP,333.99999996649984,60.61
