test_file,m,n,algorithm,Cmax,runtime_sec
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,5,60,IP,495.99999980120145,60.73
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case8.txt,5,60,GA,501,0.25
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,5,50,IP,404.0,60.52
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case9.txt,5,50,GA,411,0.21
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,5,70,IP,611.999999877405,60.94
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case8.txt,5,70,GA,604,0.29
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,5,70,IP,600.9999999397996,60.99
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case9.txt,5,70,GA,596,0.29
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,5,50,IP,434.0,60.53
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case8.txt,5,50,GA,456,0.22
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,5,60,IP,474.99999995239995,60.69
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case9.txt,5,60,GA,505,0.25
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,5,70,IP,589.9999999408998,60.96
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case10.txt,5,70,GA,596,0.29
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,5,100,IP,888.9999999109997,61.96
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case10.txt,5,100,GA,879,0.4
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,5,100,IP,853.999999914491,61.94
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case5.txt,5,100,GA,837,0.41
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,5,80,IP,662.0,61.42
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case2.txt,5,80,GA,662,0.33
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,5,90,IP,717.9999999280998,62.05
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case2.txt,5,90,GA,703,0.37
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,5,90,IP,749.9999998498001,62.21
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case3.txt,5,90,GA,745,0.37
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,5,80,IP,677.0,61.63
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case3.txt,5,80,GA,672,0.35
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,5,100,IP,780.999999921764,61.99
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case4.txt,5,100,GA,788,0.41
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,5,100,IP,853.0,62.09
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case6.txt,5,100,GA,870,0.41
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,5,80,IP,653.9998470008719,61.32
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case1.txt,5,80,GA,655,0.33
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,5,80,IP,689.0,61.51
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case10.txt,5,80,GA,703,0.34
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,5,90,IP,749.9999999248998,61.66
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case1.txt,5,90,GA,766,0.38
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,5,100,IP,831.0,62.0
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case7.txt,5,100,GA,821,0.41
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,5,100,IP,806.0,62.01
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case3.txt,5,100,GA,825,0.41
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,5,80,IP,794.999999920385,61.62
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case4.txt,5,80,GA,744,0.33
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,5,90,IP,770.9999998455974,61.78
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case4.txt,5,90,GA,773,0.37
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,5,90,IP,741.9999999256997,61.65
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case5.txt,5,90,GA,732,0.37
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,5,80,IP,719.0,61.53
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case5.txt,5,80,GA,735,0.33
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,5,100,IP,865.0,62.06
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case2.txt,5,100,GA,825,0.41
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,5,80,IP,682.9999999315999,61.45
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case7.txt,5,80,GA,680,0.33
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,5,90,IP,767.0,61.75
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case7.txt,5,90,GA,777,0.37
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,5,90,IP,720.0,62.25
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case6.txt,5,90,GA,732,0.37
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,5,80,IP,655.9999999342665,61.58
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case6.txt,5,80,GA,658,0.33
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,5,100,IP,832.0,62.07
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case1.txt,5,100,GA,816,0.41
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,5,80,IP,677.9999999320999,61.59
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case8.txt,5,80,GA,685,0.34
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,5,90,IP,788.9999996241893,61.97
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case8.txt,5,90,GA,785,0.37
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,5,90,IP,757.0,61.72
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case9.txt,5,90,GA,757,0.37
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,5,80,IP,636.9999999361995,61.53
case_m5_n80_lambda0.2_mu40.0_sigma10.0_case9.txt,5,80,GA,641,0.33
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,5,90,IP,723.0,61.64
case_m5_n90_lambda0.2_mu40.0_sigma10.0_case10.txt,5,90,GA,729,0.37
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,5,100,IP,856.0,62.02
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case9.txt,5,100,GA,844,0.42
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,5,100,IP,875.0,62.11
case_m5_n100_lambda0.2_mu40.0_sigma10.0_case8.txt,5,100,GA,849,0.41
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,5,60,IP,489.9999999508999,60.72
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case2.txt,5,60,GA,499,0.26
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,5,50,IP,405.99999995929545,60.53
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case3.txt,5,50,GA,414,0.22
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,5,70,IP,583.9999999414999,60.97
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case2.txt,5,70,GA,585,0.3
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,5,70,IP,582.9999999415999,60.94
case_m5_n70_lambda0.2_mu40.0_sigma10.0_case3.txt,5,70,GA,582,0.29
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,5,50,IP,406.99999995919785,60.52
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case2.txt,5,50,GA,412,0.21
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,5,50,IP,431.9999999566998,60.54
case_m5_n50_lambda0.2_mu40.0_sigma10.0_case10.txt,5,50,GA,437,0.21
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,5,60,IP,491.9999999013916,60.72
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case3.txt,5,60,GA,499,0.25
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,5,60,IP,501.9999998993937,60.73
case_m5_n60_lambda0.2_mu40.0_sigma10.0_case1.txt,5,60,GA,506,0.25
