test_file,m,n,algorithm,Cmax,runtime_sec
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case13.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,3,10,IP,18.99989480400661,24.66
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,3,10,IP,18.0,1.5
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,3,10,GA,18,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,3,10,IP,29.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,3,10,GA,29,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case123.txt,3,10,IP,19.99997000854923,44.42
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case123.txt,3,10,GA,20,0.05
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case137.txt,3,10,IP,20.0,11.72
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case137.txt,3,10,GA,20,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case136.txt,3,10,IP,43.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case136.txt,3,10,GA,43,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case122.txt,3,10,IP,40.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case122.txt,3,10,GA,40,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case7.txt,3,10,IP,23.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case7.txt,3,10,GA,23,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case38.txt,3,10,IP,30.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case38.txt,3,10,GA,30,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case10.txt,3,10,IP,19.0,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case10.txt,3,10,GA,19,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,3,10,IP,25.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,3,10,GA,25,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,3,10,IP,23.99999500624454,0.88
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,3,10,GA,24,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,3,10,IP,30.0,0.01
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,3,10,GA,30,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case186.txt,3,10,IP,25.0,0.02
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case186.txt,3,10,GA,25,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case192.txt,3,10,IP,31.0,0.07
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case192.txt,3,10,GA,31,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case145.txt,3,10,IP,24.999999997399993,0.83
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case145.txt,3,10,GA,25,0.04
case_m3_n10_lambda0.5_mu5.0_sigma0.5_case151.txt,3,10,IP,32.0,0.07
