test_file,m,n,algorithm,Cmax,runtime_sec
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case182.txt,4,10,IP,22.0,0.04
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case182.txt,4,10,GA,22,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case196.txt,4,10,IP,19.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case196.txt,4,10,GA,19,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case141.txt,4,10,IP,21.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case141.txt,4,10,GA,21,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case155.txt,4,10,IP,25.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case155.txt,4,10,GA,25,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case169.txt,4,10,IP,19.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case169.txt,4,10,GA,19,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,4,10,IP,24.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,4,10,GA,24,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,4,10,IP,23.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,4,10,GA,23,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,4,10,IP,30.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,4,10,GA,30,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,4,10,IP,23.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,4,10,GA,23,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,4,10,IP,18.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,4,10,IP,31.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,4,10,GA,31,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case168.txt,4,10,IP,17.0,0.12
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case168.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case154.txt,4,10,IP,19.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case154.txt,4,10,GA,19,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case140.txt,4,10,IP,23.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case140.txt,4,10,GA,23,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case197.txt,4,10,IP,17.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case197.txt,4,10,GA,17,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case183.txt,4,10,IP,16.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case183.txt,4,10,GA,17,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case9.txt,4,10,IP,28.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case9.txt,4,10,GA,28,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case195.txt,4,10,IP,16.0,0.33
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case195.txt,4,10,GA,17,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case181.txt,4,10,IP,28.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case181.txt,4,10,GA,28,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case156.txt,4,10,IP,30.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case156.txt,4,10,GA,30,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case142.txt,4,10,IP,19.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case142.txt,4,10,GA,19,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,4,10,IP,15.999989500839497,84.65
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,4,10,GA,16,0.06
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,4,10,IP,37.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,4,10,GA,37,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,4,10,IP,24.0,0.11
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,4,10,GA,24,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,4,10,IP,26.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,4,10,GA,26,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,4,10,IP,34.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,4,10,GA,34,0.06
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,4,10,IP,18.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case143.txt,4,10,IP,18.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case143.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case157.txt,4,10,IP,18.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case157.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case180.txt,4,10,IP,16.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case180.txt,4,10,GA,17,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case194.txt,4,10,IP,25.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case194.txt,4,10,GA,25,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case8.txt,4,10,IP,30.0,0.13
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case8.txt,4,10,GA,30,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case190.txt,4,10,IP,28.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case190.txt,4,10,GA,28,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case184.txt,4,10,IP,39.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case184.txt,4,10,GA,39,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case153.txt,4,10,IP,18.0,0.1
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case153.txt,4,10,GA,18,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case147.txt,4,10,IP,41.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case147.txt,4,10,GA,41,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case98.txt,4,10,IP,28.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case98.txt,4,10,GA,28,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case73.txt,4,10,IP,25.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case73.txt,4,10,GA,25,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case67.txt,4,10,IP,23.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case67.txt,4,10,GA,23,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,4,10,IP,34.0,0.02
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,4,10,GA,34,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,4,10,IP,26.0,0.1
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,4,10,GA,26,0.05
case_m4_n10_lambda0.5_mu5.0_sigma0.5_case99.txt,4,10,IP,19.0,0.02
