test_file,m,n,algorithm,Cmax,runtime_sec
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case161.txt,2,10,IP,25.0,0.06
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case161.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case175.txt,2,10,IP,26.0,0.02
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case175.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case149.txt,2,10,IP,26.999999997199993,0.14
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case149.txt,2,10,GA,27,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case16.txt,2,10,IP,25.999999997299895,0.07
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case16.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case17.txt,2,10,IP,27.0,1.82
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case17.txt,2,10,GA,27,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case148.txt,2,10,IP,28.99999999699919,0.28
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case148.txt,2,10,GA,29,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case174.txt,2,10,IP,25.0,4.37
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case174.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case160.txt,2,10,IP,26.0,0.02
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case160.txt,2,10,GA,27,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case176.txt,2,10,IP,40.999999995799755,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case176.txt,2,10,GA,41,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case162.txt,2,10,IP,25.99999999729978,0.06
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case162.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case29.txt,2,10,IP,40.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case29.txt,2,10,GA,40,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case189.txt,2,10,IP,30.999999996799996,0.1
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case189.txt,2,10,GA,31,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case15.txt,2,10,IP,34.999999996399794,0.1
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case15.txt,2,10,GA,35,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case200.txt,2,10,IP,28.0,0.02
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case200.txt,2,10,GA,28,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case14.txt,2,10,IP,25.999999997299994,0.91
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case14.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case188.txt,2,10,IP,25.999999997299984,0.06
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case188.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case28.txt,2,10,IP,24.99999999739974,0.1
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case28.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case163.txt,2,10,IP,29.999999996899994,0.14
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case163.txt,2,10,GA,30,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case177.txt,2,10,IP,32.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case177.txt,2,10,GA,32,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case173.txt,2,10,IP,25.999999997299987,0.38
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case173.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case167.txt,2,10,IP,25.999999997299987,0.31
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case167.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case10.txt,2,10,IP,42.0,0.02
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case10.txt,2,10,GA,42,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case198.txt,2,10,IP,25.999999997298993,20.12
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case198.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case38.txt,2,10,IP,25.999999997299575,0.27
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case38.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case9.txt,2,10,IP,25.0,0.16
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case9.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case8.txt,2,10,IP,26.999999997197655,0.13
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case8.txt,2,10,GA,28,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,2,10,IP,26.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case39.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,2,10,IP,29.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case11.txt,2,10,GA,29,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case199.txt,2,10,IP,27.0,6.23
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case199.txt,2,10,GA,27,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case166.txt,2,10,IP,25.99999999729895,0.23
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case166.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case172.txt,2,10,IP,24.999996002596003,0.14
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case172.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case158.txt,2,10,IP,24.999999002598763,0.22
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case158.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case164.txt,2,10,IP,26.999999997199325,0.19
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case164.txt,2,10,GA,27,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case170.txt,2,10,IP,26.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case170.txt,2,10,GA,26,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case13.txt,2,10,IP,34.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case13.txt,2,10,GA,34,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case12.txt,2,10,IP,24.0,0.11
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case12.txt,2,10,GA,24,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case171.txt,2,10,IP,28.999999996999975,0.78
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case171.txt,2,10,GA,29,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case165.txt,2,10,IP,28.0,0.03
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case165.txt,2,10,GA,29,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case159.txt,2,10,IP,29.0,0.03
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case159.txt,2,10,GA,29,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case102.txt,2,10,IP,40.999999995799996,0.19
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case102.txt,2,10,GA,41,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case116.txt,2,10,IP,25.0,0.01
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case116.txt,2,10,GA,25,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,2,10,IP,29.999999996899206,0.12
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,2,10,GA,31,0.04
case_m2_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,2,10,IP,27.0,0.04
