test_file,m,n,algorithm,Cmax,runtime_sec
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,5,10,IP,23.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case6.txt,5,10,GA,23,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case106.txt,5,10,IP,20.0,0.12
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case106.txt,5,10,GA,20,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,5,10,IP,28.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case77.txt,5,10,GA,28,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,5,10,IP,27.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case63.txt,5,10,GA,27,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case112.txt,5,10,IP,20.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case112.txt,5,10,GA,20,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,5,10,IP,30.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case88.txt,5,10,GA,30,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,5,10,IP,24.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case89.txt,5,10,GA,24,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,5,10,IP,21.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case62.txt,5,10,GA,21,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case113.txt,5,10,IP,16.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case113.txt,5,10,GA,16,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case107.txt,5,10,IP,29.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case107.txt,5,10,GA,29,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,5,10,IP,30.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case76.txt,5,10,GA,30,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case7.txt,5,10,IP,23.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case7.txt,5,10,GA,23,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case5.txt,5,10,IP,19.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case5.txt,5,10,GA,19,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case111.txt,5,10,IP,30.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case111.txt,5,10,GA,30,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,5,10,IP,27.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case60.txt,5,10,GA,27,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,5,10,IP,23.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case74.txt,5,10,GA,23,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case105.txt,5,10,IP,22.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case105.txt,5,10,GA,22,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,5,10,IP,34.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case48.txt,5,10,GA,34,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case139.txt,5,10,IP,24.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case139.txt,5,10,GA,24,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,5,10,IP,17.0,0.12
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case49.txt,5,10,GA,18,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case138.txt,5,10,IP,33.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case138.txt,5,10,GA,33,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,5,10,IP,22.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case75.txt,5,10,GA,22,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case104.txt,5,10,IP,22.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case104.txt,5,10,GA,22,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case110.txt,5,10,IP,31.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case110.txt,5,10,GA,31,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,5,10,IP,24.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case61.txt,5,10,GA,24,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case4.txt,5,10,IP,22.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case4.txt,5,10,GA,22,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case59.txt,5,10,IP,18.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case59.txt,5,10,GA,18,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case128.txt,5,10,IP,20.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case128.txt,5,10,GA,20,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case65.txt,5,10,IP,21.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case65.txt,5,10,GA,21,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case114.txt,5,10,IP,19.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case114.txt,5,10,GA,19,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case100.txt,5,10,IP,27.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case100.txt,5,10,GA,27,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case71.txt,5,10,IP,23.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case71.txt,5,10,GA,23,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case101.txt,5,10,IP,24.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case101.txt,5,10,GA,24,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case70.txt,5,10,IP,39.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case70.txt,5,10,GA,39,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case64.txt,5,10,IP,20.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case64.txt,5,10,GA,20,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case115.txt,5,10,IP,18.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case115.txt,5,10,GA,18,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case58.txt,5,10,IP,21.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case58.txt,5,10,GA,21,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case129.txt,5,10,IP,22.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case129.txt,5,10,GA,22,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case1.txt,5,10,IP,27.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case1.txt,5,10,GA,27,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case3.txt,5,10,IP,28.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case3.txt,5,10,GA,28,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,5,10,IP,19.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case72.txt,5,10,GA,19,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case103.txt,5,10,IP,13.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case103.txt,5,10,GA,13,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case117.txt,5,10,IP,16.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case117.txt,5,10,GA,16,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,5,10,IP,14.0,0.03
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case66.txt,5,10,GA,14,0.06
case_m5_n10_lambda0.5_mu5.0_sigma0.5_case99.txt,5,10,IP,23.0,0.03
